
Alhambra, California Code of Ordinances


TITLE I:  GENERAL PROVISIONS
speech, lecture or discourse at any such assemblage, meeting or gathering of
persons, for the purpose of observance of or in commemoration of the
anniversary of the Declaration of National Independence, or for other public
celebrations, events or demonstrations of a patriotic, municipal or memorial
character; provided, however, that no such permit shall be granted to any
person to hold or conduct any assemblage, meeting or gathering of persons in
violation of any of the rules and regulations established by this chapter.



   (D)   Any permit granted pursuant to the provisions of this section
shall specify the time when and the place where such assemblage, meeting or
gathering of persons shall be held or conducted, and such speech, lecture or
discourse as shall be made or delivered, and shall designate the name of the
person to whom such permit is granted.



(‘86 Code, § 14.04.100) (Ord. 1752, passed  - - ; Am. Ord. 4735, passed
5-14-18)  Penalty, see § 1.12.010



§ 14.04.110  SUPERINTENDENT OF PARKS, EMPLOYEES GIVEN POWERS OF SPECIAL
POLICEMEN.



   The Superintendent of Parks, all foremen and employees in public parks
and library employees are hereby given the power and authority of special
policemen, for the purpose of making arrests for any violation of the rules
and regulations established by this chapter.



('86 Code, § 14.04.110) (Ord. 1752, passed  - - )



CHAPTER 14.08:  TREES AND SHRUBS



Section



   14.08.002   Policy relative to trees on public facilities



   14.08.004   Policy relative to the planting of street trees



   14.08.006   Policy relative to the removal of street trees



   14.08.008   Size of replacement trees



   14.08.010   Superintendent; defined



   14.08.020   Powers of Superintendent



   14.08.030   Duties of Superintendent



   14.08.040   Interference prohibited



   14.08.050   Filing requests for cutting, trimming



   14.08.060   Information required on request; written agreement



   14.08.070   Permit to cut, trim, required



   14.08.080   Issuance and term of cutting permit



   14.08.090   When liquids injurious to tree life prohibited



   14.08.100   Approval necessary for placement of stone, cement



   14.08.110   Permission required to attach wire, rope



   14.08.120   Protection during erection, repair of buildings



   14.08.130   Authority to refuse permission to trim, prune



   14.08.140   Moving buildings generally



   14.08.150   Inspection on public or private property to locate
hazardous conditions



   14.08.160   Removal of hazards on public property



   14.08.170   Removal of hazards on private property



   14.08.180   Removal procedure when notice of objection filed



   14.08.190   Liability of city; duty of private property owners



Cross-reference:



   For further provisions concerning the power of the city to plant trees,
see Charter § 61(48)



§ 14.08.002  POLICY RELATIVE TO TREES ON PUBLIC FACILITIES.



   (A)   It shall be the policy of the city to maximize the planting of
trees at all properties owned by the city.



   (B)   Plans for improvements to be made at public facilities shall
be reviewed for opportunities to increase the number of trees planted at such
facilities prior to their finalization.



   (C)   Any removal of trees at city-owned facilities shall only be
accomplished after a review by the department head having jurisdiction of the
specific question of the necessity of removal. Any such tree required to be
removed shall be replaced as soon as it is practical to do so with another
tree either at the exact location where such tree was removed or in the same
general area.



   (D)   There shall be a full planting of street trees on all streets
adjacent to city facilities, except where the physical conditions of the site
prohibit such planting, in which case planting may be accomplished on the
city property adjacent to the sidewalk, or in an equivalent number on other
streets near the city facility.



('86 Code, § 14.08.002) (Ord. 3639, passed  - - ; Am. Ord. 3778, passed  -
- )



§ 14.08.004  POLICY RELATIVE TO THE PLANTING OF STREET TREES.



   (A)   It shall be the policy of the city to maximize the planting of
trees alongside the streets of the city, and departments of the city which
presently administer existing requirements for such planting are encouraged
to fully apply their authority for that purpose.



   (B)   It shall be the policy of the city that every new project for
street construction or for construction of curb and gutter, or for
construction of sidewalk, by capital expenditure or through assessment
district, shall include full street tree planting. In cases in which lack of
parkway and narrowness of sidewalk prohibit such planting, this requirement
may be satisfied by planting on private property adjacent to the sidewalk in
an easement acquired for this purpose.



   (C)   Prior to the issuance of the building permit, the
Superintendent of Parks and Recreation shall certify either that street trees
exist to the satisfaction of standards established by the Parks and
Recreation Commission or that installation of such trees has been guaranteed
to their satisfaction. Where lack of parkway and narrowness of sidewalk
prohibit such planting, this requirement may be satisfied by plantings on the
property of the applicant, adjacent to the sidewalk, in an easement acquired
for that purpose. Exceptions may be granted in cases in which it would be
impossible or undesirable to place such trees. This provision shall not be
applied where the permit application is for repair, addition or improvement
of value of less than $1,000 for each tree required.



('86 Code, § 14.08.004) (Ord. 3639, passed  - - )



§ 14.08.006  POLICY RELATIVE TO THE REMOVAL OF STREET TREES.



   (A)   As a result of city capital improvement projects in which less
than five trees are to be removed, the Director of Public Works, in approving
the plans therefor, shall make a specific and separate finding that such
removal is a practical necessity of the subject project.



   (B)   When a street tree is removed by the city, either as a
practical necessity or to eliminate a diseased, damaged, dangerous or dead
tree, such tree shall be replaced as soon as it is practical to do so with
another tree either at the exact location where such tree was removed or in
the same general area.



   (C)   When a living street tree is removed by a private individual
under permit from the city, it shall be a condition for the issuance of such
permit that the property owner replace such tree as soon as it is practical
to do so with another tree either at the exact location where such tree was
removed or in the same general area.



('86 Code, § 14.08.006) (Ord. 3639, passed  - - ; Am. Ord. 3778, passed  -
- )



§ 14.08.008  SIZE OF REPLACEMENT TREES.



   Trees required to be planted pursuant to this chapter shall not be
smaller than a commercial 15-gallon size.



('86 Code, § 14.08.008) (Ord. 3639, passed  - - ; Am. Ord. 3778, passed  -
-)  Penalty, see § 1.12.010



§ 14.08.010  SUPERINTENDENT; DEFINED.



   The word SUPERINTENDENT when used in this chapter shall mean the
Director of Parks and Recreation, or any of his or her authorized deputies.



(‘86 Code, § 14.08.010) (Ord. 2282, passed  - - ; Am. Ord. 3639, passed 
- - ; Am. Ord. 3797, passed  - - ; Am. Ord. 3887, passed  - - ; Am. Ord.
4735, passed 5-14-18)



§ 14.08.020  POWERS OF SUPERINTENDENT.



   Subject to the supervision of the City Manager, the Superintendent
shall have the power to designate the kind or variety of trees, shrubs or
plants to be planted upon any street, park, pleasure ground, boulevard, alley
or public place of the city; provided, however, that the owners of property
fronting on any street, alley or public place may petition the City Council
that such trees, shrubs or plants shall be a certain kind or variety, but
such petition shall be merely advisory to the action of the City Council. The
City Council may designate by resolution the type of tree to be planted on
any such street, park, pleasure ground, boulevard, alley or public place of
the city.



('86 Code, § 14.08.020) (Ord. 2282, passed  - - )



§ 14.08.030  DUTIES OF SUPERINTENDENT.



   It shall be the duty of the Superintendent to plant, trim, prune and
care for all trees, shrubs or plants and to remove all objectionable trees,
shrubs or plants in and upon any street, park, pleasure ground, boulevard,
alley or public place of the city, subject to the supervision of the City
Manager.



('86 Code, § 14.08.030) (Ord 2282, passed  - - )



§ 14.08.040  INTERFERENCE PROHIBITED.



   No person shall interfere with the Superintendent or persons acting
under his authority while engaged in planting, mulching, pruning, trimming,
spraying, treating or removing any tree, shrub or plant in any street, park,
pleasure ground, boulevard, alley or public place of the city, or in the
removing of any stone, cement or other substance from about the trunk of any
tree, shrub or plant in any such street, park, pleasure ground, boulevard or
alley or public place.



('86 Code, § 14.08.040) (Ord. 2282, passed  - - )  Penalty, see § 1.12.010



§ 14.08.050  FILING REQUESTS FOR CUTTING, TRIMMING.



   Any person maintaining any overhead wires or any pipes or underground
conduits along or across any street, park, pleasure ground, boulevard, alley
or public place of the city, or owning any property abutting upon any street,
park, pleasure ground, boulevard, alley or public place of the city, desiring
to have any tree, shrub or plant cut, trimmed, pruned or removed may file
with the Superintendent a written request that such work be done.



('86 Code, § 14.08.050) (Ord. 2282, passed  - - )  Penalty, see § 1.12.010



§ 14.08.060  INFORMATION REQUIRED ON REQUEST; WRITTEN AGREEMENT.



   The request mentioned in the preceding section shall describe the work
desired to be done and it shall be within the discretion of the
Superintendent to require a written agreement upon the part of the petitioner
to pay the cost thereof and to do such work in the way stipulated by the
Superintendent before the issuance of any permit.



('86 Code, § 14.08.060) (Ord. 2282, passed  - - )



§ 14.08.070  PERMIT TO CUT, TRIM, REQUIRED.



   No person shall cut, trim, prune, plant, remove, injure or interfere
with any tree, shrub or plant upon any street, park, pleasure ground,
boulevard, alley or public place of the city without a permit therefor from
the superintendent.



('86 Code, § 14.08.070) (Ord. 2282, passed  - - )  Penalty, see § 1.12.010



§ 14.08.080  ISSUANCE AND TERM OF CUTTING PERMIT.



   The Superintendent is hereby authorized to grant the permit required by
the preceding section in his discretion, but no such permit shall be valid
for a longer period than 30 days after the date of issuance.



('86 Code, § 14.08.080) (Ord. 2282, passed  - - )



§ 14.08.090  WHEN LIQUIDS INJURIOUS TO TREE LIFE PROHIBITED.



   No person shall cause, authorize or procure any brine water, oil,
liquid dye or other substance deleterious to tree life to lie, leak, pour,
flow or drip upon or into the soil about the base of any tree, shrub or plant
in any street, park, pleasure ground, boulevard, alley or public place of the
city or onto any sidewalk, road or pavement within the city at a point from
which the substance may be lying upon or by flowing, dripping or seeping into
such soil injure such tree, shrub or plant, or to otherwise harm or kill any
such tree, shrub or plant.



('86 Code, § 14.08.090) (Ord. 2282, passed  - - )  Penalty, see § 1.12.010



§ 14.08.100  APPROVAL NECESSARY FOR PLACEMENT OF STONE, CEMENT.



   No person without the approval of the Super-intendent shall place or
maintain any stone, cement or other substance so that it shall impede the
free access of water or air to the roots of any tree, shrub or plant in any
street, park, pleasure ground, boulevard, alley or public place of the city.



('86 Code, § 14.08.100) (Ord. 2282, passed  - - )  Penalty, see § 1.12.010



§ 14.08.110  PERMISSION REQUIRED TO ATTACH WIRE, ROPE.



   No person without the permission of the City Manager shall attach or
keep attached to any tree, shrub or plant in any street, park, pleasure
ground, boulevard, alley or other public place of the city, or to the guard
or stake intended for the protection thereof, any wire, rope, sign or other
device what-soever.



('86 Code, § 14.08.110) (Ord. 2282, passed  - - )  Penalty, see § 1.12.010



§ 14.08.120  PROTECTION DURING ERECTION, REPAIR OF BUILDINGS.



   During the erection, repair, alteration or removal of any building,
house or structure in the city, no person in charge of such work shall leave
any tree, shrub or plant in any street, park, pleasure ground, boulevard,
alley or public place of the city, in the vicinity of such building or
structure without such good and sufficient guards or protectors as shall
prevent injury to the tree, shrub or plant arising out of or by reason of the
erection, repair, alteration or removal.



('86 Code, § 14.08.120) (Ord. 2282, passed  - - )  Penalty, see § 1.12.010



§ 14.08.130  AUTHORITY TO REFUSE PERMISSION TO TRIM, PRUNE.



   When the erection, repair, alteration or removal of any building, house
or structure necessitates the trimming, pruning or removal of any tree, shrub
or plant on any street, park, pleasure ground, alley or other public place of
the city, except any trimming, pruning or removal required by the
construction of a residential driveway it shall be within the discretion of
the Superintendent to refuse permission to do such work. Applications for a
permit to trim, prune or remove any tree or plant on any of the above-
mentioned places for the above-mentioned reasons shall be filed with the
Superintendent at least three days prior to the time of doing such work. The
Superintendent may stipulate the conditions upon which any trimming, pruning
or removal may be done and may require the applicant to enter into an
agreement whereby the applicant shall agree to pay all costs incurred for any
inspection, labor, equipment or service deemed necessary by the
Superintendent.



('86 Code, § 14.08.130) (Ord. 2282, passed  - - )



§ 14.08.140  MOVING BUILDINGS GENERALLY.



   No person shall move any building, house or portion thereof without
notifying the Superintendent at least three days in advance of such moving.
The notice shall designate the route to be followed and all other details
pertinent to such work. The Superintendent shall have the authority to change
such route and designate one which in his opinion will cause less damage to
trees, shrubs or plants owned by the city along and adjacent to the route. If
necessary to protect such trees, shrubs or plants, the Superintendent may
require that the house, building or portion thereof be cut into segments
small enough to fit the available width between such trees, shrubs or plants
along the designated route. As a condition to approving any route for the
moving of any building, house, or portion thereof, the Superintendent may
require the person doing such work to enter into an agreement to pay all
costs incurred for any labor, equipment or material used to protect or
preserve such trees, shrubs or plants, either before or after such moving.



('86 Code, § 14.08.140) (Ord. 2282, passed  - - )  Penalty, see § 1.12.010



Cross-reference:



   For further provisions concerning requirements of moving buildings, see
Chapter 20.40



§ 14.08.150  INSPECTION ON PUBLIC OR PRIVATE PROPERTY TO LOCATE HAZARDOUS
CONDITIONS.



   The Superintendent may inspect any tree, shrub or plant upon any
street, park, pleasure ground, boulevard, alley or public place of the city,
or any tree, shrub or plant, standing on any private property which overhangs
or projects into any street, park, pleasure ground, boulevard, alley or
public place of the city, to determine whether the same or any part thereof
is in such condition as to constitute a hazard or an impediment to the
progress or vision of any person traveling on such street, park, pleasure
ground, boulevard, alley or public place.



('86 Code, § 14.08.150) (Ord. 2282, passed  - - )



§ 14.08.160  REMOVAL OF HAZARDS ON PUBLIC PROPERTY.



   If, in the opinion of the Superintendent, any tree, shrub or plant
mentioned in the preceding section is hazardous to the traveling public or
impedes the progress or the vision of the public on any street, park,
pleasure ground, boulevard, alley or public place, he may cause the same or
such parts thereof as are hazardous or constitute an impedient to be trimmed
or removed so as to remedy such conditions.



('86 Code, § 14.08.160) (Ord. 2282, passed  - - )



§ 14.08.170  REMOVAL OF HAZARDS ON PRIVATE PROPERTY.



   No tree, shrub or plant standing on any private property shall be cut
down or removed unless ten days' notice in writing of this intention shall be
given by the Superintendent to the owner, occupant or agent of the property
upon which such described condition exists.



('86 Code, § 14.08.170) (Ord. 2282, passed  - - )  Penalty, see § 1.12.010



§ 14.08.180  REMOVAL PROCEDURE WHEN NOTICE OF OBJECTION FILED.



   If the owner, occupant or agent of such private property within seven
days after the receipt of such notice files his objection to such removal
with the Superintendent, such tree, shrub or plant shall not be cut down nor
removed unless the Superintendent shall give such owner, occupant or agent a
reasonable opportunity to be heard in support of such objection. If such
objection be not sustained, the Superintendent shall thereafter approve, in
writing, the cutting down or removal of such hazardous or impedient tree,
plant or shrub.



('86 Code, § 14.08.180) (Ord. 2282, passed  - - )



§ 14.08.190  LIABILITY OF CITY; DUTY OF PRIVATE PROPERTY OWNERS.



   Nothing contained in this chapter shall be deemed to impose any
liability upon the city, its officers or employees, nor to relieve the owner
of any private property from the duty to keep any tree, shrub or plant upon
his property or under his control, in such a condition as to prevent it from
constituting a hazard or an impediment to travel or vision upon any street,
park, pleasure ground, boulevard, alley or public place within the city.



('86 Code, § 14.08.190) (Ord. 2282, passed  - - )



 


Notes

Chapter 20.40 
Please Note: Chapter 20.40 does not exist in the code of ordinances. We will
update this incorrect reference at the time of the next supplement.

   - Folio Legal Editor

 

Please press ESC to close this note



TITLE XV:  WATER



   Chapter



      15.02   ADMINISTRATION



      15.04   SERVICE REGULATIONS



      15.08   RATES



      15.12   WATER METERS



      15.16   FIRE PROTECTION



      15.18   CROSS-CONNECTION CONTROL



      15.24   WATER DEPARTMENT EMPLOYEES



      15.25   WATER SHORTAGE PLAN



      15.26   [RESERVED]



      15.30   RULES AND REGULATIONS FOR UTILITY SERVICE



CHAPTER 15.02:  ADMINISTRATION



Section



   15.02.010   Authority to administer title



§ 15.02.010  AUTHORITY TO ADMINISTER TITLE.



   (A)   Wherever hereinafter in this Title XV the words "Director of
Public Works", "Director of Public Services" and "Superintendent of the Water
Department" are used, the words "Director of Utilities" shall be substituted
in lieu thereof.



   (B)   Wherever hereinafter in this Title XV the words "Water
Division of the Department of Public Services" and "Water Department" are
used, the words "Utilities Department" shall be substituted in lieu thereof.



(Ord. 4329, passed 10-20-97)



CHAPTER 15.04:  SERVICE REGULATIONS



Section



   15.04.010   Turning off water upon violations



   15.04.020   Turning water on after shutoff by city



   15.04.040   Application for service; installation fees



   15.04.050   Pipes between mains and meters to be installed by city



   15.04.060   Connections between private and city water supplies



   15.04.070   Connections between water supply for domestic
consumption and sewage system



   15.04.080   Installation of shutoff valves; tampering with valves



   15.04.090   Drawing from city pipes directly into steam boilers,
power pumps



   15.04.100   Storage tanks to be used for city water entering
boilers, power pumps



   15.04.110   Consumers not to supply other persons; exception



   15.04.120   Consumers not to permit leaks or waste



   15.04.130   Use of water for refrigerating apparatus, ornamental
fountains



   15.04.140   Permit to tap mains and pipes of city system



   15.04.150   Authority of city to turn off water supply



   15.04.160   Failure of owner to prevent waste of water



   15.04.170   Committee to hear complaints; appeals from committee



   15.04.180   Authority to restrict use of water for sprinkling,
irrigating



   15.04.190   Lawn sprinklers to be shut off during fires



   15.04.200   Notification of intention to excavate, grade streets



   15.04.210   Excessive charges; refunds



§ 15.04.010  TURNING OFF WATER UPON VIOLATIONS.



   Upon failure to comply with the rules and regulations established as a
condition to the use of water, or to pay rates or any charges imposed in the
time and manner provided by this title on any and all services where the
delinquent consumer is being supplied with water, the water may be turned off
and not turned on again until payment of the amount due is made, plus a
minimum fee in an amount established by City Council resolution to cover the
cost of turning the service off and on if the service is turned on during
regular city working hours; that is, between 8:00 a.m. and 5:00 p.m. on any
Monday through Friday other than a holiday, or a minimum charge in an amount
established by City Council resolution if the service is turned on at any
time other than during the regular city working hours.



('86 Code, § 15.04.010) (Ord. 2028, passed  - - ; Am. Ord. 3529, passed  -
- ; Am. Ord. 3719, passed  - - ; Am. Ord. 4587, passed 6-27-11; Am. Ord.
4588, passed 7-11-11)



§ 15.04.020  TURNING WATER ON AFTER SHUTOFF BY CITY.



   (A)   If any person should turn on water or suffer or cause it to be
turned on after it has been shut off at the curb cock by the Water
Department, such person shall be guilty of a misdemeanor and punished as
provided in § 1.12.010.



   (B)   Penalty for unauthorized use.  If any person should turn on
or use water without authorization of the Department, he or she shall pay a
minimum charge in an amount established by City Council resolution.



('86 Code, § 15.04.020) (Ord. 2028, passed  - - ; Am. Ord. 4587, passed
6-27-11; Am. Ord. 4588, passed 7-11-11)



§ 15.04.040  APPLICATION FOR SERVICE; INSTALLATION FEES.



   Before water shall be supplied to any premises, the owner or user shall
make a written application for same to the Water Division of the Department
of Public Services. The information, required in all instances where
application is made for water, shall include the name and address of the
applicant, address or location of premises, the applicant's status as owner
or lessee and such other information as shall serve to establish credit
standing. The city, as a condition to granting such application and
furnishing water to the premises, is authorized and shall require payment of
a fee thereof, in an amount established by City Council resolution.



('86 Code, § 15.04.040) (Ord. 2883, passed  - - ; Am. Ord. 3628, passed  -
- ; Am. Ord. 3924, passed  - - ; Am. Ord. 4043, passed  - - ; Am. Ord.
4587, passed 6-27-11; Am. Ord. 4588, passed 7-11-11)



§ 15.04.050  PIPES BETWEEN MAINS AND METERS TO BE INSTALLED BY CITY.



   All water pipes between water mains and water meters shall be installed
by the Water Department and it shall be unlawful for any person to install
such services.



('86 Code, § 15.04.050) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



§ 15.04.060  CONNECTIONS BETWEEN PRIVATE AND CITY WATER SUPPLIES.



   No person shall install or maintain any physical connection between any
private source of water supply and the city water supply; provided, however,
that subject to the approval of the Board of Health of the state, the city
may maintain emergency connec-tion with other public utilities serving water.



('86 Code, § 15.04.060) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



§ 15.04.070  CONNECTION BETWEEN WATER SUPPLY FOR DOMESTIC CONSUMPTION AND
SEWAGE SYSTEM.



   No plumbing fixture, device, construction or pipe discharging
therefrom, or connected therewith, shall be installed or maintained which
will provide a cross-connection between the water distribution system used
for human consumption and domestic purposes and a drainage system, waste or
sewage system, or any other source of probable contamina-tion.



('86 Code, § 15.04.070) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



§ 15.04.080  INSTALLATION OF SHUTOFF VALVES; TAMPERING WITH VALVES.



   All shutoff valves are installed by the city for the use of the Water
Department, and it shall be unlawful for any unauthorized person to tamper
with or to turn off or turn on any water service valve between the water
meter and the water main, or to turn off or turn on any water main valve of
any description, except in case of emergency. Before operating any water
service valve or water main valve, written permission must be obtained from
the Superintendent of the Water Department or his or her authorized
representatives. The operating of water service valves and water main valves
shall be performed by authorized Water Department employees upon request
without cost for ordinary usage. All consumers shall install, at their own
expense, a shutoff valve inside the property line at a location accessible in
case of emergency.



('86 Code, § 15.04.080) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



§ 15.04.090  DRAWING FROM CITY PIPES DIRECTLY INTO STEAM BOILERS, POWER
PUMPS.



   No person shall draw from the city pipes directly into any stationary
steam boilers, hydraulic elevator, power pump or similar apparatus.



('86 Code, § 15.04.090) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



§ 15.04.100  STORAGE TANKS TO BE USED FOR CITY WATER ENTERING BOILERS,
POWER PUMPS.



   Where city water is used to supply a steam boiler, hydraulic elevator
or power pump, its owner shall provide a tank of sufficient capacity to
afford a supply for at least 12 hours into which the service pipe shall be
discharged.



('86 Code, § 15.04.100) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



§ 15.04.110  CONSUMERS NOT TO SUPPLY OTHER PERSONS; EXCEPTION.



   No consumer shall supply water to any person other than the occupant of
the premises of such consumer; provided, that such consumer may supply water
to persons for use in the performance of any contract for the improvement of
any street or other public place after having given notice to and received
permission from the Superintendent of the Water Department, who shall issue
no such permit to or for any person whose indebtedness to the city for water
or damage to hydrants is delinquent or who has on one or more occasions taken
water from the distributing system of the city or from the pipes of consumers
connected with the distributing system of the city without having given
notice and received permission.



('86 Code, § 15.04.110) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



15.04.120  CONSUMERS NOT TO PERMIT LEAKS OR WASTE.



   No consumer shall permit leaks or waste of water.



('86 Code, § 15.04.120) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



§ 15.04.130  USE OF WATER FOR REFRIGERATING APPARATUS, ORNAMENTAL FOUNTAINS.



   It is hereby declared to be unlawful wherever water is served by the
city to use or permit the use of water in any refrigerating apparatus,
ornamental fountain or other device in which the water so used is then
permitted to flow wastefully. Nothing herein contained shall be deemed to
prohibit the use of water in such refrigerating appliance, ornamental
fountains or other devices, if water so used is circulated by means of pumps
and motors in such fashion that the maximum conservation of water is
obtained. In all instances in which the Water Superintendent may dis-cover
that water furnished by the city is being used in violation of the terms of
this section, he may, after having given reasonable notice of his intention
so to do, cause the water to be shut off from the consumer using it in
violation hereof. Such water shall remain shut off until such consumer shall
have removed the appliance causing the wastage of water, or shall have
installed pumping and other equipment adequate to secure the maximum use of
such water and to prevent waste. The city shall collect the minimum amount of
$5 for shutting water off and turning it on again in such cases. Violation of
this section shall also constitute a misdemeanor.



('86 Code, § 15.04.130) (Ord. 2028, passed  - - ; Am. Ord. 3628, passed  -
- )  Penalty, see § 1.12.010



§ 15.04.140  PERMIT TO TAP MAINS AND PIPES OF CITY SYSTEM.



   No person shall tap, open or connect with any water main or pipe which
forms any part of the system of the waterworks of the city, without first
notifying and obtaining written permission so to do from the Superintendent
of the Water Department, who shall issue no such permit to or for any person
whose indebtedness to the city for water or damage to hydrants is delinquent,
or who has on one or more occasions taken water from the distributing system
of the city without having given the notice and received the permission
required by this section, even though such person has paid for water so taken.



('86 Code, § 15.04.140) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



§ 15.04.150  AUTHORITY OF CITY TO TURN OFF WATER SUPPLY.



   The Superintendent of the Water Department, or his duly authorized
personnel, is hereby authorized to turn off and on water from mains and pipes
of the city system without notice. Consumers dependent upon a continuous
supply of water should provide emergency storage. When water is turned on for
any consumer, the Water Department's jurisdiction and responsibility ends at
the water meter, and the city will in no case be liable for damages
occasioned by water running from open or faulty plumbing fixtures or from
broken or damaged pipes beyond the Water Department's meter.



('86 Code, § 15.04.150) (Ord. 2028, passed  - - )



§ 15.04.160  FAILURE OF OWNER TO PREVENT WASTE OF WATER.



   The refusal or neglect of the owner or occupant of any premises to
equip and maintain the premises with plumbing of such character and quality
as to prevent waste of water shall be sufficient grounds for the refusal of
the Water Department to connect the premises with the city water supply, or
to discontinue such connection after having given two days' notice in writing
to the owner or occupant of the property of intention to discontinue the
service pending such repairs. In all such cases, the city shall collect the
minimum amount of $5 for shutting water off and/or turning it on again during
regular city work hours; that is, between 8 a.m. and 5 p.m. on any Monday
through Friday other than a holiday, or a minimum of $5 for shutting water
off and/or turning it on again at any time other than during the regular city
working hours.



('86 Code, § 15.04.160) (Ord. 2028, passed  - - ; Am. Ord. 3628, passed  -
- ; Am. Ord. 3719, passed  - - )  Penalty, see § 1.12.010



§ 15.04.170  COMMITTEE TO HEAR COMPLAINTS; APPEALS FROM COMMITTEE.



   (A)   There is hereby created a committee of three whose duties it
shall be to hear complaints registered by any water consumer in the city, and
to adjust and recommend the disposition of complaints. In addition, the
committee shall perform such other duties and functions which may be assigned
to it from time to time by the City Council. The committee shall be composed
of the following city officials or their duly authorized agents:  Water and
Sewer Systems Superintendent, City Manager or Mayor, and Director of Finance.



   (B)   It shall be the duty of the committee to review all complaints
made against the excessive amount of water bills or similar complaints
arising from time to time by water consumers in the city and the committee is
hereby authorized to adjust com-plaints. In the event the findings of the
committee are unsatisfactory to the complainant, the complainant may, within
30 days from the date of review of the matter, file with the Board of Appeals
an informal written appeal, or appear before the board of appeals at its next
regular meeting concerning any adjustment of any water bill. The decision of
the Board of Appeals with respect to any such appeal shall be final.



('86 Code, § 15.04.170) (Ord. 3628, passed  - - ; Am. Ord. 3931, passed  -
- )



§ 15.04.180  AUTHORITY TO RESTRICT USE OF WATER FOR SPRINKLING, IRRIGATING.



   The Superintendent of the Water Department shall have the right to
restrict the use of water for sprinkling, wetting, irrigating or construction
purposes to such hours and for such time as he may deem advisable for the
best interest of all concerned; provided, however, that first a notice
thereof shall be published in a daily newspaper in the city.



('86 Code, § 15.04.180) (Ord. 2028, passed  - - )



§ 15.04.190  LAWN SPRINKLERS TO BE SHUT OFF DURING FIRES.



   Consumers are hereby required to shut off lawn sprinklers or any other
steady flow of water they may be using whenever a fire occurs in their
section of the city or whenever a large fire occurs in the business section
of the city.



('86 Code, § 15.04.190) (Ord. 2028, passed  - - )  Penalty, see § 1.12.010



§ 15.04.200  NOTIFICATION OF INTENTION TO EXCAVATE, GRADE STREETS.



   All contractors and other persons who open, grade, regrade, fill,
excavate or work on a street shall give ten days' written notice to the
Super-intendent of the Water Department for the removal or displacement of
any water mains, pipes, fittings, meters or other waterworks material that
may interfere with such street work, and on failure to so furnish such notice
any damage resulting from such failure shall be charged against the person
responsible.



('86 Code, § 15.04.200) (Ord. 2028, passed  - - )



§ 15.04.210  EXCESSIVE CHARGES; REFUNDS.



   Whenever the amount of any tax has been overpaid or paid more than once
or has been illegally, erroneously or wrongfully collected or received by the
city under this chapter, it may be refunded; provided that a claim in writing
therefor, duly verified by the person paying such tax or penalty, his or her
attorney, duly authorized agent, guardian, or his or her executor or
administrator, shall have been filed with the Director of Finance within one
year after the date or payment of the amount sought to be refunded. Such
claim shall include the name and address of the claimant, the amount and date
of payment sought to be refunded, and state under penalty of perjury the
reasons or grounds upon which the claim for refund is based. The claim shall
be on forms furnished by the Director of Finance. In no case shall any
judgment be rendered for the plaintiff in any proceeding brought to enforce
the payment of any claim arising hereunder if such action or proceeding is
brought by any person other than the persons designated herein. Except as
expressly provided herein, § 3.16.060(C) of this code shall apply to claims
filed hereunder.



(Ord. 4320, passed 3-24-97)



CHAPTER 15.08:  RATES



Section



   15.08.010   Amount of rates generally



   15.08.030   Rebates; adjustment of disputes



   15.08.040   When rates due, delinquent



   15.08.050   Deposits for guarantee of payment



   15.08.060   Charges to consumer when meters register inaccurately



   15.08.070   Rate for unoccupied property unless city is notified



